company,name,mpg,cylinders,displacement,horsepower,weight,acceleration,sale_date,price,origin
Chevrolet,chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,1970-01-01,25795,USA
Hi,hi 1200d,9.0,8,304.0,193.0,4732,18.5,1970-01-01,24502,USA
Chevrolet,chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,1970-01-01,42580,usa
Buick,buick skylark 320,15.0,8,350.0,165.0,3693,11.5,1970-01-01,41843,usa
Plymouth,plymouth satellite,18.0,8,318.0,150.0,3436,11.0,1970-01-01,12849,usa
Ford,ford torino,17.0,8,302.0,140.0,3449,10.5,1970-01-01,45257,usa
Ford,ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,1970-01-01,19823,usa
Chevrolet,chevrolet impala,14.0,8,454.0,220.0,4354,9.0,1970-01-01,19540,usa
Plymouth,plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,1970-01-01,26364,usa
Pontiac,pontiac catalina,14.0,8,455.0,225.0,4425,10.0,1970-01-01,14611,usa
Amc,amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,1970-01-01,37663,usa
Dodge,dodge challenger se,15.0,8,383.0,170.0,3563,10.0,1970-01-01,48646,usa
Plymouth,plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,1970-01-01,40977,usa
Chevrolet,chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,1970-01-01,39168,usa
Buick,buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,1970-01-01,35471,usa
Toyota,toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,1970-01-01,32687,japan
Plymouth,plymouth duster,22.0,6,198.0,95.0,2833,15.5,1970-01-01,10851,usa
Amc,amc hornet,18.0,6,199.0,97.0,2774,15.5,1970-01-01,28071,usa
Ford,ford maverick,21.0,6,200.0,85.0,2587,16.0,1970-01-01,16833,usa
Datsun,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1970-01-01,21938,japan
Volkswagen,volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,1970-01-01,45195,europe
Peugeot,peugeot 504,25.0,4,110.0,87.0,2672,17.5,1970-01-01,36144,europe
Audi,audi 100 ls,24.0,4,107.0,90.0,2430,14.5,1970-01-01,14000,europe
Saab,saab 99e,25.0,4,104.0,95.0,2375,17.5,1970-01-01,15052,europe
Bmw,bmw 2002,26.0,4,121.0,113.0,2234,12.5,1970-01-01,45506,europe
Amc,amc gremlin,21.0,6,199.0,90.0,2648,15.0,1970-01-01,38074,usa
Ford,ford f250,10.0,8,360.0,215.0,4615,14.0,1970-01-01,48155,usa
Chevy,chevy c20,10.0,8,307.0,200.0,4376,15.0,1970-01-01,42320,usa
Dodge,dodge d200,11.0,8,318.0,210.0,4382,13.5,1970-01-01,48304,usa
Hi,hi 1200d,9.0,8,304.0,193.0,4732,18.5,1970-01-01,13913,usa
Dodge,dodge d200,11.0,8,318.0,210.0,4382,13.5,1970-01-01,40740,USA
Chevy,chevy c20,10.0,8,307.0,200.0,4376,15.0,1970-01-01,13890,USA
